KB,Description
KB4517245,"NOT IN MS CATALOGeature Update via Windows 10, version 1909 Enablement Package"
KB4519108,2019-10 Update for Windows Server 2012 R2 for x64-based Systems (KB4519108)
KB4520724,2019-11 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB4520724)
KB4521858,2019-10 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB4521858)
KB4523204,2019-11 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB4523204)
KB4524244,"NOT IN MS CATALOGecurity update for Windows 10, version 1607, 1703, 1709, 1803, 1809, 1903, 1909, Windows Server 2016 and Windows Server 2019: February 11, 2020"
KB4524445,2019-11 Servicing Stack Update for Windows Server 2012 R2 for x64-based Systems (KB4524445)
KB4525250,2019-11 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4525250)
KB4528759,"2020-01 Servicing Stack Update for Windows Server, version 1903 for x64-based Systems (KB4528759)"
KB4530730,2019-12 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4530730)
KB4532691,2020-02 Cumulative Update for Windows Server 2019 for x64-based Systems (KB4532691)
KB4532693,"2020-02 Cumulative Update for Windows Server, version 1903 for x64-based Systems (KB4532693)"
KB4532931,"2020-01 Security and Quality Rollup for .NET Framework 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4532931)"
KB4532940,2020-01 Security and Quality Rollup for .NET Framework 4.8 for Windows 8.1 and Server 2012 R2 for x64 (KB4532940)
KB4532945,2020-01 Security and Quality Rollup for .NET Framework 3.5.1 on Windows Server 2008 R2 for Itanium-based Systems (KB4532945)
KB4532946,2020-01 Security and Quality Rollup for .NET Framework 3.5 for Windows 8.1 and Server 2012 R2 for x64 (KB4532946)
KB4532961,2020-01 Security Only Update for .NET Framework 3.5 for Windows 8.1 and Server 2012 R2 for x64 (KB4532961)
KB4532970,"2020-01 Security Only Update for .NET Framework 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4532970)"
KB4534117,"2020-01 Preview of Quality Rollup for .NET Framework 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4534117)"
KB4534134,2020-01 Preview of Quality Rollup for .NET Framework 4.8 for Windows 8.1 and Server 2012 R2 for x64 (KB4534134)
KB4534251,2020-01 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4534251)
KB4534273,2020-01 Cumulative Update for Windows Server 2019 for x64-based Systems (KB4534273)
KB4534309,2020-01 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4534309)
KB4534310,2020-01 Security Monthly Quality Rollup for Windows Server 2008 R2 for Itanium-based Systems (KB4534310)
KB4536952,2020-01 Servicing Stack Update for Windows Server 2008 R2 for x64-based Systems (KB4536952)
KB4537482,2020-02 Preview of Quality Rollup for .NET Framework 4.8 for Windows 8.1 and Server 2012 R2 for x64 (KB4537482)
KB4537503,2020-02 Preview of Quality Rollup for .NET Framework 3.5 for Windows 8.1 and Server 2012 R2 for x64 (KB4537503)
KB4537759,2020-02 Security Update for Adobe Flash Player for Windows Server 2019 for x64-based Systems (KB4537759)
KB4537764,2020-02 Cumulative Update for Windows Server 2016 for x64-based Systems (KB4537764)
KB4538674,"2020-02 Servicing Stack Update for Windows Server, version 1909 for x64-based Systems (KB4538674)"
KB4539571,2020-03 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB4539571)
KB4540723,2020-03 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB4540723)
KB4540725,2020-03 Servicing Stack Update for Windows Server 2012 R2 for x64-based Systems (KB4540725)
KB4550961,2020-04 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB4550961)
KB4550994,2020-04 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB4550994)
KB4552924,2020-05 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB4552924)
KB4552931,"2020-05 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows Server, version 1909 for x64 (KB4552931)"
KB4552933,2020-05 Security and Quality Rollup for .NET Framework 4.8 for Windows 8.1 and Server 2012 R2 for x64 (KB4552933)
KB4552982,2020-05 Security and Quality Rollup for .NET Framework 3.5 for Windows 8.1 and Server 2012 R2 for x64 (KB4552982)
KB4556813,2020-05 Cumulative Update for Windows Server 2016 for x64-based Systems (KB4556813)
KB4556846,2020-05 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB4556846)
KB4558997,2020-07 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB4558997)
KB4559003,2020-07 Cumulative Update Preview for Windows Server 2019 for x64-based Systems (KB4559003)
KB4561600,2020-06 Security Update for Adobe Flash Player for Windows Server 2019 for x64-based Systems (KB4561600)
KB4561608,2020-06 Cumulative Update for Windows Server 2019 for x64-based Systems (KB4561608)
KB4561666,2020-06 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB4561666)
KB4562253,2020-06 Servicing Stack Update for Windows Server 2012 R2 for x64-based Systems (KB4562253)
KB4562562,2020-06 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB4562562)
KB4562902,2020-07 Cumulative Update Preview for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB4562902)
KB4565349,2020-08 Cumulative Update for Windows Server 2019 for x64-based Systems (KB4565349)
KB4565351,2020-08 Cumulative Update for Windows 10 Version 1909 for x64-based Systems (KB4565351)
KB4565511,2020-07 Cumulative Update for Windows Server 2016 for x64-based Systems (KB4565511)
KB4565541,2020-07 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB4565541)
KB4565613,2020-07 Security and Quality Rollup for .NET Framework 3.5 for Windows 8.1 and Server 2012 R2 for x64 (KB4565613)
KB4565622,"2020-07 Security and Quality Rollup for .NET Framework 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4565622)"
KB4565635,2020-07 Security and Quality Rollup for .NET Framework 4.8 for Windows 8.1 and Server 2012 R2 for x64 (KB4565635)
KB4565912,2020-07 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB4565912)
KB4566371,2020-09 Update for Windows Server 2012 R2 for x64-based Systems (KB4566371)
KB4566424,2020-08 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB4566424)
KB4566425,2020-07 Servicing Stack Update for Windows Server 2012 R2 for x64-based Systems (KB4566425)
KB4569073,2020-08 Servicing Stack Update for Windows 10 Version 1909 for x64-based Systems (KB4569073)
KB4569753,2020-08 Security and Quality Rollup for .NET Framework 4.8 for Windows 8.1 and Server 2012 R2 for x64 (KB4569753)
KB4569768,2020-08 Security and Quality Rollup for .NET Framework 3.5 for Windows 8.1 and Server 2012 R2 for x64 (KB4569768)
KB4569776,2020-08 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB4569776)
KB4570332,2020-09 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB4570332)
KB4570720,2020-08 Cumulative Update Preview for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB4570720)
KB4570723,2020-08 Cumulative Update Preview for .NET Framework 3.5 and 4.8 for Windows 10 Version 1903 (KB4570723)
KB4576486,2020-09 Security and Quality Rollup for .NET Framework 4.8 for Windows 8.1 and Server 2012 R2 for x64 (KB4576486)
KB4576489,2020-09 Security Only Update for .NET Framework 4.8 for Windows 8.1 and Server 2012 R2 for x64 (KB4576489)
KB4576750,2020-09 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB4576750)
KB4576949,2020-09 Cumulative Update Preview for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB4576949)
KB4577010,2020-09 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4577010)
KB4577015,2020-09 Cumulative Update for Windows Server 2016 for x64-based Systems (KB4577015)
KB4577066,2020-09 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB4577066)
KB4577069,2020-09 Cumulative Update Preview for Windows Server 2019 for x64-based Systems (KB4577069)
KB4577071,2020-09 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4577071)
KB958488,NOT IN MS CATALOGhared Components for Microsoft .NET Framework on Windows 7 and on Windows Server 2008 R2
KB976902,NOT IN MS CATALOGpdate for Windows 7 for x64 based systems (KB976902)
KB976932,Windows Server 2008 R2 Service Pack 1 for x64-based Systems (KB976932)
KB977236,Update for Best Practices Analyzer for DHCP Server for Windows Server 2008 R2 x64 Edition (KB977236)
KB977238,Update for Best Practices Analyzer for HYPER-V for Windows Server 2008 R2 x64 Edition (KB977238)
KB977239,Update for Best Practices Analyzer for Network Policy and Access Services for Windows Server 2008 R2 x64 Edition (NPAS) (KB977239)
KB981111,Update for Best Practices Analyzer for File Services for Windows Server 2008 R2 x64 Edition (KB981111)
KB981390,Update for Best Practices Analyzer for Windows Server Update Services for Windows Server 2008 R2 x64 Edition (KB981390)
KB981391,Update for Best Practices Analyzer for Active Directory Rights Management Services for Windows Server 2008 R2 x64 Edition (KB981391)
KB981392,Update for Best Practices Analyzer for Application Server for Windows Server 2008 R2 x64 Edition (KB981392)
KB982018,Update for Windows Server 2008 R2 x64 Edition (KB982018)
KB4570333,2020-09 Cumulative Update for Windows Server 2019 for x64-based Systems (KB4570333)
KB4565625,2020-07 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB4565625)
KB4521862,2019-10 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB4521862)
KB4519569,2019-10 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB4519569)
KB4490128,Not in lookup table
KB3132080,Not in lookup table
KB3027209,Not in lookup table
KB3013410,Not in lookup table
KB2884846,Not in lookup table
KB2898514,Not in lookup table
KB2898742,Not in lookup table
KB2898871,Not in lookup table
KB2901101,Not in lookup table
KB2901128,Not in lookup table
KB2906956,Not in lookup table
KB2908174,Not in lookup table
KB2913152,Not in lookup table
KB2913270,Not in lookup table
KB2914218,Not in lookup table
KB2923528,Not in lookup table
KB2931366,Not in lookup table
KB2939087,Not in lookup table
KB4539601,2020-01 Preview of Monthly Quality Rollup for Windows Server 2008 R2 for x64-based Systems (KB4539601)
KB4550738,2020-04 Servicing Stack Update for Windows Server 2008 R2 for x64-based Systems (KB4550738)
KB4565354,2020-07 Servicing Stack Update for Windows Server 2008 R2 for x64-based Systems (KB4565354)
KB4578966,2020-10 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB4578966)
KB4580325,2020-10 Security Update for Adobe Flash Player for Windows Server 2016 for x64-based Systems (KB4580325)
KB4577667,2020-10 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB4577667)
KB4577668,2020-10 Cumulative Update for Windows Server 2019 for x64-based Systems (KB4577668)
KB4580346,2020-10 Cumulative Update for Windows Server 2016 for x64-based Systems (KB4580346)
KB4576614,"2020-09 Security and Quality Rollup for .NET Framework 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4576614)"
KB4578953,2020-10 Security and Quality Rollup for .NET Framework 3.5 for Windows 8.1 and Server 2012 R2 for x64 (KB4578953)
KB4578976,2020-10 Security and Quality Rollup for .NET Framework 4.8 for Windows 8.1 and Server 2012 R2 for x64 (KB4578976)
KB4580347,2020-10 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB4580347)
KB4574727,2020-09 Cumulative Update for Windows 10 Version 1909 for x64-based Systems (KB4574727)
KB4576751,2020-09 Servicing Stack Update for Windows 10 Version 1909 for x64-based Systems (KB4576751)
KB4578974,"2020-10 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows Server, version 1909 for x64 (KB4578974)"
KB4580422,2020-10 Cumulative Update Preview for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB4580422)
KB4578623,2020-10 Update for Windows Server 2012 R2 for x64-based Systems (KB4578623)
KB4578962,"2020-10 Security and Quality Rollup for .NET Framework 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4578962)"
KB4578981,2020-10 Security Only Update for .NET Framework 3.5 for Windows 8.1 and Server 2012 R2 for x64 (KB4578981)
KB4578986,"2020-10 Security Only Update for .NET Framework 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4578986)"
KB4578989,2020-10 Security Only Update for .NET Framework 4.8 for Windows 8.1 and Server 2012 R2 for x64 (KB4578989)
KB4580358,2020-10 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4580358)
KB4569732,2020-08 Security Only Update for .NET Framework 4.8 for Windows 8.1 and Server 2012 R2 for x64 (KB4569732)
KB4569737,2020-08 Security Only Update for .NET Framework 3.5 for Windows 8.1 and Server 2012 R2 for x64 (KB4569737)
KB4569739,"2020-08 Security Only Update for .NET Framework 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4569739)"
KB4586830,2020-11 Cumulative Update for Windows Server 2016 for x64-based Systems (KB4586830)
KB4593226,2020-12 Cumulative Update for Windows Server 2016 for x64-based Systems (KB4593226)
KB4562561,2020-06 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB4562561)
KB4549947,2020-04 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB4549947)
KB4585212,2020-11 Security and Quality Rollup for .NET Framework 4.8 for Windows 8.1 and Server 2012 R2 for x64 (KB4585212)
KB4592484,2020-12 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB4592484)
KB4586793,2020-11 Cumulative Update for Windows Server 2019 for x64-based Systems (KB4586793)
KB4586839,2020-11 Cumulative Update Preview for Windows Server 2019 for x64-based Systems (KB4586839)
KB4586875,2020-11 Cumulative Update Preview for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB4586875)
KB4586877,2020-11 Cumulative Update Preview for .NET Framework 3.5 and 4.8 for Windows Server 2019 for x64 (KB4586877)
KB4587735,2020-11 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB4587735)
KB4592440,2020-12 Cumulative Update for Windows Server 2019 for x64-based Systems (KB4592440)
KB4598230,2021-01 Cumulative Update for Windows Server 2019 for x64-based Systems (KB4598230)
KB4598480,2021-01 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB4598480)
KB4601060,2021-02 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB4601060)
KB4601345,2021-02 Cumulative Update for Windows Server 2019 for x64-based Systems (KB4601345)
KB4601393,2021-02 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB4601393)
KB4486129,Microsoft .NET Framework 4.8 for Windows 10 Version 1607 and Windows Server 2016 for x64 (KB4486129)
KB4535680,"Security Update for Windows Server, version 1909 for x64-based Systems (KB4535680)"
KB4585207,2020-11 Cumulative Update for .NET Framework 4.8 for Windows Server 2016 for x64 (KB4585207)
KB4601318,2021-02 Cumulative Update for Windows Server 2016 for x64-based Systems (KB4601318)
KB5001078,2021-02 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB5001078)
KB4586845,2020-11 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB4586845)
KB4592495,2020-12 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4592495)
KB4597253,2021-01 Security and Quality Rollup for .NET Framework 4.8 for Windows 8.1 and Server 2012 R2 for x64 (KB4597253)
KB4598275,2021-01 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4598275)
KB4598285,2021-01 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB4598285)
KB4601058,2021-02 Security and Quality Rollup for .NET Framework 4.8 for Windows Server 2012 R2 for x64 (KB4601058)
KB4601092,2021-02 Security Only Update for .NET Framework 4.8 for Windows Server 2012 R2 for x64 (KB4601092)
KB4601349,2021-02 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4601349)
KB4601384,2021-02 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB4601384)
KB4486153,Microsoft .NET Framework 4.8 for Windows 10 Version 1809 and Windows Server 2019 for x64 (KB4486153)
KB4577586,"Update for Removal of Adobe Flash Player for Windows Server, version 1909 for x64-based systems (KB4577586)"
KB4601555,2021-02 Cumulative Update Preview for .NET Framework 3.5 and 4.8 for Windows Server 2019 for x64 (KB4601555)
KB4601558,2021-02 Cumulative Update Preview for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB4601558)
KB4598243,2021-01 Cumulative Update for Windows Server 2016 for x64-based Systems (KB4598243)
KB4601051,2021-02 Cumulative Update for .NET Framework 4.8 for Windows Server 2016 for x64 (KB4601051)
KB4601055,2021-02 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows Server 2019 for x64 (KB4601055)
KB5000822,2021-03 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5000822)
KB5000859,2021-03 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB5000859)
KB4589210,2021-01 Update for Windows Server 2016 for x64-based Systems (KB4589210)
KB5001078,2021-02 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB5001078)
KB5000803,2021-03 Cumulative Update for Windows Server 2016 for x64-based Systems (KB5000803)
KB4589208,2021-01 Update for Windows Server 2019 for x64-based Systems (KB4589208)
KB5001404,2021-04 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB5001404)
KB5003243,2021-05 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB5003243)
KB5003255,2021-05 Cumulative Update Preview for .NET Framework 3.5 and 4.8 for Windows Server 2019 for x64 (KB5003255)
KB5003258,2021-05 Cumulative Update Preview for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB5003258)
KB5003646,2021-06 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5003646)
KB5003711,2021-06 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB5003711)
KB5001402,2021-04 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB5001402)
KB5003197,2021-05 Cumulative Update for Windows Server 2016 for x64-based Systems (KB5003197)
KB5003542,2021-06 Cumulative Update for .NET Framework 4.8 for Windows Server 2016 for x64 (KB5003542)
KB5003638,2021-06 Cumulative Update for Windows Server 2016 for x64-based Systems (KB5003638)
KB4601275,2021-04 Update for Windows Server 2012 R2 for x64-based Systems (KB4601275)
KB5000800,2021-03 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB5000800)
KB5000853,2021-03 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB5000853)
KB5001393,2021-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB5001393)
KB5001403,2021-04 Servicing Stack Update for Windows Server 2012 R2 for x64-based Systems (KB5001403)
KB5003165,2021-05 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB5003165)
KB5003220,2021-05 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB5003220)
KB5003545,2021-06 Security and Quality Rollup for .NET Framework 4.8 for Windows Server 2012 R2 for x64 (KB5003545)
KB5003636,2021-06 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB5003636)
KB5003671,2021-06 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB5003671)
KB5003681,2021-06 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB5003681)
KB5001342,2021-04 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5001342)
KB5003171,2021-05 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5003171)
KB5003217,2021-05 Cumulative Update Preview for Windows Server 2019 for x64-based Systems (KB5003217)
KB5003538,2021-07 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows Server 2019 for x64 (KB5003538)
KB5003541,2021-07 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB5003541)
KB5004244,2021-07 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5004244)
KB5004332,2021-07 Cumulative Update Preview for .NET Framework 3.5 and 4.8 for Windows Server 2019 for x64 (KB5004332)
KB5004335,2021-07 Cumulative Update Preview for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB5004335)
KB5004947,2021-07 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5004947)
KB4578969,2020-10 Cumulative Update for .NET Framework 4.8 for Windows Server 2016 for x64 (KB4578969)
KB4601392,NOT IN MS CATALOG021-02 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB4601392) 
KB5001347,2021-04 Cumulative Update for Windows Server 2016 for x64-based Systems (KB5001347)
KB5004115,2021-07 Cumulative Update for .NET Framework 4.8 for Windows Server 2016 for x64 (KB5004115)
KB5004238,2021-07 Cumulative Update for Windows Server 2016 for x64-based Systems (KB5004238)
KB5000848,2021-03 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB5000848)
KB5001088,NOT IN MS CATALOG
KB5001640,2021-03 Update for Windows Server 2012 R2 for x64-based Systems (KB5001640)
KB5001845,2021-05 Security and Quality Rollup for .NET Framework 4.8 for Windows Server 2012 R2 for x64 (KB5001845)
KB5003209,2021-05 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB5003209)
KB5004118,2021-07 Security and Quality Rollup for .NET Framework 4.8 for Windows Server 2012 R2 for x64 (KB5004118)
KB5004233,2021-07 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB5004233)
KB5004285,2021-07 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB5004285)
KB5004298,2021-07 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB5004298)
KB5004954,2021-07 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB5004954)
KB5004958,2021-07 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB5004958)
KB5005030,2021-08 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5005030)
KB5005112,2021-08 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB5005112)
KB5005543,2021-10 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB5005543)
KB5005568,2021-09 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5005568)
KB5005625,2021-09 Cumulative Update Preview for Windows Server 2019 for x64-based Systems (KB5005625)
KB5005701,NOT IN MS CATALOG
KB5006672,2021-10 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5006672)
KB5006754,NOT IN MS CATALOG
KB5007206,2021-11 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5007206)
KB5007295,2021-11 Cumulative Update Preview for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB5007295)
KB5008218,2021-12 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5008218)
KB5008287,NOT IN MS CATALOG
KB5008873,2022-01 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB5008873)
KB5009468,2022-02 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows Server 2019 for x64 (KB5009468)
KB5009472,2022-02 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB5009472)
KB5009557,2022-01 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5009557)
KB5009642,NOT IN MS CATALOG
KB5010351,2022-02 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5010351)
KB5006752,NOT IN MS CATALOG
KB5007205,2021-11 Cumulative Update for Microsoft server operating system version 21H2 for x64-based Systems (KB5007205)
KB5008882,2022-01 Cumulative Update for .NET Framework 3.5 and 4.8 for Microsoft server operating system version 21H2 for x64 (KB5008882)
KB5009470,2022-02 Cumulative Update for .NET Framework 3.5 and 4.8 for Microsoft server operating system version 21H2 for x64 (KB5009470)
KB5009608,2022-01 Cumulative Update Preview for Microsoft server operating system version 21H2 for x64-based Systems (KB5009608)
KB5009639,NOT IN MS CATALOG
KB5004752,2021-08 Cumulative Update for .NET Framework 4.8 for Windows Server 2016 for x64 (KB5004752)
KB5005043,2021-08 Cumulative Update for Windows Server 2016 for x64-based Systems (KB5005043)
KB5005698,2021-09 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB5005698)
KB5010359,2022-02 Cumulative Update for Windows Server 2016 for x64-based Systems (KB5010359)
KB5010460,2022-02 Cumulative Update for .NET Framework 4.8 for Windows Server 2016 for x64 (KB5010460)
KB4534119,2020-01 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB4534119)
KB5012675,NOT IN MS CATALOG
KB5013892,2022-05 Cumulative Update Preview for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB5013892)
KB5014031,NOT IN MS CATALOG
KB5014692,2022-06 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5014692)
KB5015811,2022-07 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5015811)
KB5013626,2022-05 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows Server 2019 for x64 (KB5013626)
KB5014797,NOT IN MS CATALOG
KB5013641,2022-05 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB5013641)
KB5014025,2022-05 Servicing Stack Update for Windows Server 2012 R2 for x64-based Systems (KB5014025)
KB5014633,2022-06 Security and Quality Rollup for .NET Framework 4.8 for Windows Server 2012 R2 for x64 (KB5014633)
KB5013638,2022-05 Security and Quality Rollup for .NET Framework 3.5 for Windows Server 2012 R2 for x64 (KB5013638)
KB5016264,2022-07 Servicing Stack Update for Windows Server 2012 R2 for x64-based Systems (KB5016264)
KB5015874,2022-07 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB5015874)
KB5016268,2022-07 Security and Quality Rollup for .NET Framework 3.5 for Windows Server 2012 R2 for x64 (KB5016268)
KB5015736,2022-08 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB5015736)
KB5012170,2022-08 Security Update for Windows Server for x64-based Systems (KB5012170)
KB5015731,2022-08 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows Server 2019 for x64 (KB5015731)
KB5016370,2022-08 Security and Quality Rollup for .NET Framework 4.8 for Windows Server 2012 R2 for x64 (KB5016370)
KB5016681,2022-08 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB5016681)
KB5015805,2022-07 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB5015805)
KB5015877,2022-07 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB5015877)
KB5015896,NOT IN MS CATALOG
KB5016623,2022-08 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5016623)
KB5016058,2022-07 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB5016058)
KB5016622,2022-08 Cumulative Update for Windows Server 2016 for x64-based Systems (KB5016622)
KB5017095,2022-08 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB5017095)
KB5016373,2022-08 Cumulative Update for .NET Framework 4.8 for Windows Server 2016 for x64 (KB5016373)
KB5016627,2022-08 Cumulative Update for Microsoft server operating system version 21H2 for x64-based Systems (KB5016627)
KB5015897,NOT IN MS CATALOG
